EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000295877456665,0,1,INITIAL_BUFFERING,Writing,45226
0.00079083442688,0,1,PLAY,InitialBuffering-Play,0
0.00189590454102,0,0,PLAY,StillPlaying,45226
0.461313009262,0,1,PLAY,Writing,45226.0
1.02824687958,1,2,PLAY,Writing,88783.0
1.80837893486,1,3,PLAY,Writing,128503.0
2.64008784294,2,4,PLAY,Writing,177437.0
3.65287995338,3,5,PLAY,Writing,217761.0
4.00300693512,4,4,PLAY,StillPlaying,45226.0
4.59624385834,4,5,PLAY,Writing,255865.0
5.72841882706,5,6,PLAY,Writing,323047.0
7.44619989395,7,7,PLAY,Writing,378355.0
8.00276994705,8,6,PLAY,StillPlaying,88783.0
9.50487184525,9,7,PLAY,Writing,509091.0
12.0027499199,12,6,PLAY,StillPlaying,128503.0
12.7284448147,12,7,PLAY,Writing,577751.0
16.0028858185,16,6,PLAY,StillPlaying,177437.0
17.3348178864,17,7,PLAY,Writing,782553.0
20.0027699471,20,6,PLAY,StillPlaying,217761.0
23.3841018677,23,7,PLAY,Writing,1008699.0
24.002779007,24,6,PLAY,StillPlaying,255865.0
28.0029089451,28,5,PLAY,StillPlaying,323047.0
28.8007919788,28,6,PLAY,Writing,577751.0
32.0027029514,32,5,PLAY,StillPlaying,378355.0
35.0098488331,35,6,PLAY,Writing,782553.0
36.0027008057,36,5,PLAY,StillPlaying,509091.0
39.6428818703,39,6,PLAY,Writing,509091.0
40.002712965,40,5,PLAY,StillPlaying,577751.0
44.0026929379,44,4,PLAY,StillPlaying,782553.0
44.7048609257,44,5,PLAY,Writing,378355.0
48.0027418137,48,4,PLAY,StillPlaying,1008699.0
50.7078988552,50,5,PLAY,Writing,509091.0
52.0026979446,52,4,PLAY,StillPlaying,577751.0
55.1802389622,55,5,PLAY,Writing,323047.0
56.002696991,56,4,PLAY,StillPlaying,782553.0
60.0026738644,60,3,PLAY,StillPlaying,509091.0
60.3475489616,60,4,PLAY,Writing,255865.0
64.0027418137,64,3,PLAY,StillPlaying,378355.0
64.1520907879,64,4,PLAY,Writing,177437.0
68.0027368069,68,3,PLAY,StillPlaying,509091.0
68.7546868324,68,4,PLAY,Writing,217761.0
72.0028648376,72,3,PLAY,StillPlaying,323047.0
72.8094120026,72,4,PLAY,Writing,177437.0
76.0029928684,76,3,PLAY,StillPlaying,255865.0
76.3975458145,76,4,PLAY,Writing,128503.0
80.0026907921,80,3,PLAY,StillPlaying,177437.0
80.3939058781,80,4,PLAY,Writing,177437.0
84.002699852,84,3,PLAY,StillPlaying,217761.0
84.4481840134,84,4,PLAY,Writing,128503.0
88.0027029514,88,3,PLAY,StillPlaying,177437.0
88.2922849655,88,4,PLAY,Writing,177437.0
91.584635973,91,5,PLAY,Writing,88783.0
92.0026948452,92,4,PLAY,StillPlaying,128503.0
94.696657896,94,5,PLAY,Writing,128503.0
96.0026938915,96,4,PLAY,StillPlaying,177437.0
98.3624138832,98,5,PLAY,Writing,88783.0
100.002700806,100,4,PLAY,StillPlaying,128503.0
102.000892878,101,5,PLAY,Writing,128503.0
104.002739906,104,4,PLAY,StillPlaying,177437.0
105.890563965,105,5,PLAY,Writing,88783.0
108.002702951,108,4,PLAY,StillPlaying,88783.0
109.860888958,109,5,PLAY,Writing,128503.0
112.002686977,112,4,PLAY,StillPlaying,128503.0
113.940707922,113,5,PLAY,Writing,88783.0
116.002700806,116,4,PLAY,StillPlaying,88783.0
118.022624969,118,5,PLAY,Writing,128503.0
120.002719879,120,4,PLAY,StillPlaying,128503.0
121.298521996,121,5,PLAY,Writing,88783.0
124.002695799,124,4,PLAY,StillPlaying,88783.0
125.126024008,125,5,PLAY,Writing,128503.0
127.94827199,127,6,PLAY,Writing,88783.0
128.002686024,128,5,PLAY,StillPlaying,128503.0
131.768306017,131,6,PLAY,Writing,128503.0
132.002689838,132,5,PLAY,StillPlaying,88783.0
135.616515875,135,6,PLAY,Writing,88783.0
136.002695799,136,5,PLAY,StillPlaying,128503.0
139.473953962,139,6,PLAY,Writing,128503.0
140.002693892,140,5,PLAY,StillPlaying,88783.0
143.353132963,143,6,PLAY,Writing,88783.0
144.00272584,144,5,PLAY,StillPlaying,128503.0
146.599187851,146,6,PLAY,Writing,128503.0
148.002713919,148,5,PLAY,StillPlaying,88783.0
149.973596811,149,6,PLAY,Writing,88783.0
152.002702951,152,5,PLAY,StillPlaying,128503.0
153.488647938,153,6,PLAY,Writing,128503.0
156.002733946,156,5,PLAY,StillPlaying,88783.0
157.364419937,157,6,PLAY,Writing,88783.0
160.002700806,160,5,PLAY,StillPlaying,128503.0
161.425148964,161,6,PLAY,Writing,128503.0
164.002733946,164,5,PLAY,StillPlaying,88783.0
165.701112986,165,6,PLAY,Writing,88783.0
168.002707958,168,5,PLAY,StillPlaying,128503.0
168.228996992,168,6,PLAY,Writing,128503.0
171.735481024,171,7,PLAY,Writing,88783.0
172.002705812,172,6,PLAY,StillPlaying,88783.0
175.364509821,175,7,PLAY,Writing,128503.0
176.002689838,176,6,PLAY,StillPlaying,128503.0
179.202759981,179,7,PLAY,Writing,88783.0
180.002695799,180,6,PLAY,StillPlaying,88783.0
183.149999857,183,7,PLAY,Writing,128503.0
184.002697945,184,6,PLAY,StillPlaying,128503.0
187.199801922,187,7,PLAY,Writing,88783.0
188.002684832,188,6,PLAY,StillPlaying,88783.0
191.244269848,191,7,PLAY,Writing,128503.0
192.002727985,192,6,PLAY,StillPlaying,128503.0
195.143939972,195,7,PLAY,Writing,88783.0
196.002692938,196,6,PLAY,StillPlaying,88783.0
198.852746964,198,7,PLAY,Writing,128503.0
200.002699852,200,6,PLAY,StillPlaying,128503.0
201.726001978,201,7,PLAY,Writing,88783.0
204.002695799,204,6,PLAY,StillPlaying,88783.0
205.608283997,205,7,PLAY,Writing,128503.0
208.002699852,208,6,PLAY,StillPlaying,128503.0
208.881641865,208,7,PLAY,Writing,88783.0
212.002714872,212,6,PLAY,StillPlaying,88783.0
213.108232975,213,7,PLAY,Writing,128503.0
216.002695799,216,6,PLAY,StillPlaying,128503.0
217.173625946,217,7,PLAY,Writing,88783.0
220.002712965,220,6,PLAY,StillPlaying,88783.0
220.59316802,220,7,PLAY,Writing,128503.0
223.40425086,223,8,PLAY,Writing,88783.0
224.002704859,224,7,PLAY,StillPlaying,128503.0
226.248260975,226,8,PLAY,Writing,128503.0
227.492635965,227,9,PLAY,Writing,88783.0
228.002703905,228,8,PLAY,StillPlaying,88783.0
228.618971825,228,9,PLAY,Writing,128503.0
231.285616875,231,10,PLAY,Writing,177437.0
232.002700806,232,9,PLAY,StillPlaying,128503.0
234.248466969,234,10,PLAY,Writing,217761.0
236.002732992,236,9,PLAY,StillPlaying,88783.0
237.464936018,237,10,PLAY,Writing,255865.0
240.002693892,240,9,PLAY,StillPlaying,128503.0
241.07220602,241,10,PLAY,Writing,323047.0
244.002710819,244,9,PLAY,StillPlaying,88783.0
244.912792921,244,10,PLAY,Writing,255865.0
248.002709866,248,9,PLAY,StillPlaying,128503.0
249.309788942,249,10,PLAY,Writing,323047.0
252.002807856,252,9,PLAY,StillPlaying,88783.0
252.977319956,252,10,PLAY,Writing,255865.0
256.002687931,256,9,PLAY,StillPlaying,128503.0
257.439962864,257,10,PLAY,Writing,217761.0
260.002697945,260,9,PLAY,StillPlaying,88783.0
262.620255947,262,10,PLAY,Writing,255865.0
264.002686977,264,9,PLAY,StillPlaying,128503.0
266.490899801,266,10,PLAY,Writing,177437.0
